type_id,fias_level,name,name_full
6564,65,пр-кт,Проспект
6565,65,пр-лок,Проселок
6566,65,проул.,Проулок
6567,65,рзд.,Разъезд
6568,65,с.,Село
6569,65,с-к,Спуск
6570,65,сл.,Слобода
6571,65,с-р,Сквер
6572,65,ст.,Станция
6573,65,стр.,Строение
6574,65,тракт,Тракт
6575,65,туп.,Тупик
6576,65,ул.,Улица
6577,65,х.,Хутор
6578,65,ш.,Шоссе
6579,65,гск,Гаражно-строительный кооп.
6580,65,днп,Дачное неком-е партнерство
6581,65,местность,Местность
6582,65,мкр,Микрорайон
6583,65,н/п,Некоммерческое партнерство
6584,65,промзона,Промышленная зона
6585,65,снт,Садовое товарищество
6586,65,тер,Территория
6587,65,ф/х,Фермерское хозяйство
6588,65,месторожд.,Месторождение
6589,65,порт,Порт
6590,65,тер.СОСН,Территория СОСН
6591,65,тер. ТСЖ,Территория ТСЖ
6592,65,тер. ПК,Территория ПК
6594,65,мр.,Месторождение
7501,75,з/у,Земельный участок
9002,90,снт,Садовое товарищество
9003,90,промзона,Промышленная зона
9004,90,гск,Гаражно-строительный кооп.
9005,90,тер,Территория
9006,90,мкр,Микрорайон
9007,90,сад,Сад
9008,90,ф/х,Фермерское хозяйство
9009,90,н/п,Некоммерческое партнерство
9010,90,днп,Дачное неком-е партнерство
9011,90,местность,Местность
9101,91,аллея,Аллея
9102,91,б-р,Бульвар
9103,91,въезд,Въезд
9104,91,дор,Дорога
9105,91,жт,Животноводческая точка
9106,91,заезд,Заезд
9107,91,кв-л,Квартал
9108,91,км,Километр
9109,91,кольцо,Кольцо
9110,91,линия,Линия
9111,91,наб,Набережная
9112,91,остров,Остров
9113,91,парк,Парк
9114,91,пер,Переулок
9115,91,переезд,Переезд
9116,91,пл,Площадь
9117,91,пл-ка,Площадка
9118,91,проезд,Проезд
9119,91,пр-кт,Проспект
9120,91,просек,Просек
9121,91,проселок,Проселок
9122,91,проулок,Проулок
9123,91,сад,Сад
9124,91,сквер,Сквер
9125,91,стр,Строение
9126,91,тер,Территория
9127,91,тракт,Тракт
9128,91,туп,Тупик
9129,91,ул,Улица
9130,91,уч-к,Участок
9131,91,ш,Шоссе
9132,91,аал,Аал
9133,91,аул,Аул
9134,91,высел,Выселки(ок)
9135,91,г-к,Городок
9136,91,д,Деревня
9137,91,ж/д_будка,Железнодорожная будка
9138,91,ж/д_казарм,Железнодорожная казарма
9139,91,ж/д_оп,ж/д останов. (обгонный) пункт
9140,91,ж/д_пост,Железнодорожный пост
9141,91,ж/д_рзд,Железнодорожный разъезд
9142,91,ж/д_ст,Железнодорожная станция
9143,91,казарма,Казарма
9144,91,м,Местечко
9145,91,мкр,Микрорайон
9146,91,нп,Населенный пункт
9147,91,платф,Платформа
9148,91,п,Поселок
9149,91,п/о,Почтовое отделение
9150,91,пл.р-н,Планировочный район
9151,91,п/ст,Поселок и(при) станция(и)
9153,91,починок,Починок
9154,91,рзд,Разъезд
9155,91,с,Село
9156,91,сл,Слобода
9157,91,ст,Станция
9158,91,х,Хутор
9159,91,ж/д_платф,Железнодорожная платформа
9160,91,арбан,Арбан
9161,91,спуск,Спуск
9163,91,гск,Гаражно-строит-ный кооператив
9164,91,снт,Садовое неком-е товарищество
9167,91,коса,Коса
9168,91,вал,Вал
9169,91,ферма,Ферма
9170,91,мост,Мост
9171,91,ряды,Ряды
9172,91,а/я,Абонентский ящик
9173,91,берег,Берег
9174,91,просека,Просека
9177,91,зона,Зона
